costDeviationPercentage,delayDays,paymentCount,paymentAmount,milestoneCompletionRate,contractorDelayRate,contractorCostOverrunRate,contractorAnomalyRate,costPerBeneficiary,projectDuration,duplicateSimilarity,label
43.4,64,4,3800000,25,56.6,40.5,66.4,3632,464,91,SUSPICIOUS
3.4,8,2,2200000,80,16.7,11.7,4.1,1360,301,0,NORMAL
4.9,0,1,2300000,60,9.3,11.1,13.7,1116,370,0,NORMAL
15.3,2,1,2100000,65,8.4,3.7,3.5,1524,364,0,NORMAL
5.6,4,2,1500000,85,16.2,10.5,6.5,1287,350,0,NORMAL
7.2,0,2,1900000,80,10.7,6.7,3.7,1544,314,0,NORMAL
4.4,16,3,3100000,95,12.5,4.9,9.4,824,333,0,NORMAL
71.6,132,4,9100000,25,54.0,59.0,64.4,5604,575,15,SUSPICIOUS
49.3,170,4,6700000,10,56.9,52.6,61.1,5311,551,5,SUSPICIOUS
8.9,12,1,1400000,75,16.0,9.1,13.5,845,338,5,NORMAL
62.6,206,5,6200000,10,59.4,56.2,67.0,5363,674,0,SUSPICIOUS
6.4,0,3,1700000,65,10.0,12.7,15.1,849,365,0,NORMAL
9.6,8,2,3800000,60,10.0,8.0,13.2,994,332,0,NORMAL
7.4,12,3,1500000,95,13.7,4.8,9.7,1286,336,0,NORMAL
10.5,1,3,1300000,85,15.0,11.8,11.2,1452,355,0,NORMAL
2.9,0,3,1700000,95,5.9,13.5,5.7,1569,308,5,NORMAL
50.4,124,2,6700000,35,38.0,28.1,46.6,2841,538,82,SUSPICIOUS
5.3,8,2,2300000,100,12.7,9.4,3.1,892,385,0,NORMAL
3.7,16,2,1900000,75,7.8,11.4,8.2,780,324,0,NORMAL
1.2,18,1,1400000,80,14.7,13.5,13.6,1648,384,5,NORMAL
18.5,6,2,1700000,65,7.8,5.5,14.6,1155,381,0,NORMAL
9.3,7,2,2200000,100,7.5,13.9,16.7,774,368,0,NORMAL
6.6,11,1,2500000,70,10.5,6.5,11.3,995,387,0,NORMAL
8.1,2,2,2000000,70,8.3,11.0,12.6,1315,395,0,NORMAL
2.0,5,1,3500000,70,13.6,14.0,13.2,823,317,0,NORMAL
8.4,34,2,2600000,90,13.2,8.1,10.1,978,373,0,NORMAL
60.4,141,3,8000000,10,61.7,35.9,84.9,5343,593,10,SUSPICIOUS
7.5,0,1,3400000,85,13.2,9.6,13.4,1298,332,0,NORMAL
61.5,172,3,7100000,30,58.6,40.2,75.2,4252,668,8,SUSPICIOUS
68.5,270,5,6200000,30,66.0,54.9,88.6,4715,631,0,SUSPICIOUS
45.4,308,4,6600000,20,61.8,51.5,86.3,3258,656,14,SUSPICIOUS
32.4,211,4,6400000,12,60.7,59.3,57.5,5164,513,0,SUSPICIOUS
47.5,104,3,5700000,30,44.9,39.2,74.9,2860,593,86,SUSPICIOUS
6.4,0,3,2900000,65,9.9,11.7,4.4,1287,343,0,NORMAL
8.6,14,2,1600000,95,16.4,3.6,6.2,1496,264,0,NORMAL
8.7,12,2,1700000,100,14.0,6.1,11.8,1110,302,0,NORMAL
3.8,5,3,2700000,80,13.9,14.3,12.7,907,316,5,NORMAL
42.3,143,4,7600000,5,55.9,41.6,74.3,3640,591,5,SUSPICIOUS
2.3,0,2,1200000,60,14.3,4.3,7.6,1302,358,0,NORMAL
18.5,0,2,1900000,100,15.5,10.9,11.8,1263,351,0,NORMAL
10.3,5,2,2200000,60,12.2,13.8,12.7,1621,305,0,NORMAL
9.0,0,2,3700000,65,11.0,14.3,8.5,916,349,0,NORMAL
9.7,7,3,2400000,70,15.9,7.1,15.4,943,398,0,NORMAL
4.0,2,1,2200000,90,10.7,6.2,14.5,978,369,8,NORMAL
3.7,0,3,2500000,90,7.7,5.7,10.1,1125,322,0,NORMAL
5.9,10,2,1600000,70,10.4,5.4,15.3,1036,331,8,NORMAL
13.0,0,2,2800000,80,13.4,7.8,13.0,1187,357,0,NORMAL
5.8,16,2,1800000,60,12.0,10.0,16.5,937,376,0,NORMAL
6.0,5,2,3700000,75,12.6,9.5,6.1,1009,359,0,NORMAL
2.2,6,1,1300000,95,16.1,9.7,10.3,1322,410,0,NORMAL
3.5,3,2,3400000,65,5.7,4.2,5.6,1044,331,0,NORMAL
32.1,141,5,6700000,10,65.3,58.1,70.2,3366,615,0,SUSPICIOUS
12.9,0,3,1800000,65,11.0,9.7,5.1,806,348,0,NORMAL
34.0,212,4,7700000,5,64.1,50.4,58.0,3593,619,5,SUSPICIOUS
6.3,17,2,3200000,80,10.7,12.3,16.7,922,346,0,NORMAL
10.2,0,3,2700000,100,14.6,5.1,15.4,1560,345,0,NORMAL
11.5,2,1,2600000,75,10.1,12.9,7.8,900,327,0,NORMAL
2.4,0,3,1300000,65,11.9,9.2,6.6,1385,389,0,NORMAL
5.3,0,3,1500000,70,15.1,11.7,5.1,1141,350,0,NORMAL
3.2,12,2,1200000,75,10.8,6.3,5.7,1379,288,0,NORMAL
4.0,0,4,2900000,85,5.6,5.3,3.3,1472,325,0,NORMAL
14.3,2,3,1900000,90,13.9,11.7,5.5,763,352,0,NORMAL
12.0,0,2,2200000,55,8.6,5.6,15.3,1615,346,0,NORMAL
13.1,0,3,2800000,80,13.9,11.4,12.7,1559,333,0,NORMAL
1.7,1,1,1800000,100,8.1,12.2,3.8,864,367,8,NORMAL
12.2,0,2,2400000,85,15.4,12.8,11.9,1404,386,0,NORMAL
4.3,0,2,1200000,90,13.4,5.7,4.4,1425,331,0,NORMAL
9.3,19,2,2600000,90,16.0,11.5,4.3,1362,352,0,NORMAL
3.8,3,2,2300000,100,9.9,3.7,6.4,1287,355,5,NORMAL
18.5,0,3,2100000,65,9.4,5.4,11.1,808,348,0,NORMAL
18.5,4,3,3700000,95,8.3,9.2,10.3,1132,348,0,NORMAL
6.3,2,3,1500000,95,11.5,4.5,10.5,783,402,0,NORMAL
4.0,0,2,3100000,70,8.2,10.7,11.7,1137,391,0,NORMAL
15.9,32,2,1600000,60,13.4,12.3,13.0,763,338,0,NORMAL
15.2,43,2,1200000,55,15.7,8.8,10.6,816,313,0,NORMAL
25.2,92,3,6400000,25,49.0,39.7,69.7,2995,493,74,SUSPICIOUS
11.9,12,2,1400000,55,10.8,3.7,11.2,1371,299,0,NORMAL
2.5,16,2,1900000,75,7.3,11.1,5.8,957,293,5,NORMAL
6.7,0,3,2100000,70,6.5,5.8,7.4,1428,335,0,NORMAL
4.9,1,2,2000000,85,7.8,6.3,14.6,995,318,8,NORMAL
55.7,218,6,8300000,15,63.3,44.0,60.1,4269,634,0,SUSPICIOUS
11.4,0,1,3700000,90,17.4,13.6,7.4,1124,338,0,NORMAL
3.4,45,1,2500000,55,15.4,9.9,17.0,1444,313,0,NORMAL
6.1,7,2,2400000,75,17.7,8.0,14.6,1500,282,0,NORMAL
5.6,10,2,3200000,65,13.9,13.1,6.3,966,342,0,NORMAL
9.4,1,2,1800000,95,7.6,4.2,15.4,818,353,0,NORMAL
3.7,0,2,1900000,65,6.0,4.7,9.9,799,324,8,NORMAL
18.5,0,2,2200000,60,6.5,14.0,4.3,1555,344,0,NORMAL
16.3,3,4,3100000,75,15.1,6.4,16.1,912,344,0,NORMAL
67.9,308,4,8900000,20,68.0,56.7,70.5,4798,713,14,SUSPICIOUS
4.8,0,2,1800000,90,6.5,7.8,3.5,1033,326,0,NORMAL
58.4,266,3,7400000,15,71.4,45.7,82.7,3097,659,0,SUSPICIOUS
11.1,0,2,1600000,95,6.4,9.6,10.2,1475,325,0,NORMAL
10.2,3,2,2900000,80,15.7,8.1,4.0,771,410,0,NORMAL
1.2,0,2,2000000,80,5.1,8.3,15.4,1091,360,0,NORMAL
4.9,20,2,2800000,85,12.2,10.0,16.1,766,359,0,NORMAL
69.8,174,6,7700000,30,43.7,70.2,79.8,6474,603,5,SUSPICIOUS
59.0,161,5,8400000,30,61.2,57.5,70.7,4887,720,14,SUSPICIOUS
7.7,0,2,1700000,55,16.1,11.7,8.7,1634,345,0,NORMAL
8.1,45,2,2100000,100,7.3,14.2,4.6,1067,299,0,NORMAL
6.1,19,2,2900000,100,17.2,10.1,16.9,945,281,0,NORMAL
6.3,33,3,3800000,65,15.3,10.1,12.2,1619,354,0,NORMAL
60.9,205,4,8000000,20,64.8,56.1,68.8,3829,639,14,SUSPICIOUS
8.8,15,1,2700000,55,11.5,12.2,12.9,937,284,0,NORMAL
5.2,13,3,2500000,65,8.1,10.4,7.2,965,370,0,NORMAL
2.8,0,2,1600000,90,18.0,5.2,14.4,1184,313,0,NORMAL
18.5,3,2,1500000,70,7.0,4.4,12.0,1528,319,0,NORMAL
12.0,2,2,2700000,55,6.6,8.1,9.9,860,355,0,NORMAL
3.6,19,2,1800000,95,11.9,7.8,11.7,774,300,5,NORMAL
4.2,12,2,2200000,90,14.1,5.4,10.0,1248,407,0,NORMAL
41.0,124,4,4900000,35,39.7,40.7,65.6,2638,488,91,SUSPICIOUS
11.7,0,2,2700000,60,6.7,7.2,16.0,932,338,0,NORMAL
4.3,4,1,1300000,65,5.8,3.8,13.0,1633,310,0,NORMAL
4.8,0,2,2900000,90,14.2,5.4,14.6,1515,348,0,NORMAL
42.2,139,3,3700000,35,55.3,32.3,52.1,2877,531,74,SUSPICIOUS
6.1,0,3,2500000,95,7.7,9.7,12.1,1407,402,0,NORMAL
4.0,19,2,2100000,95,9.2,13.9,7.0,1351,350,0,NORMAL
18.5,3,3,1600000,75,10.3,11.3,6.2,1408,363,0,NORMAL
5.4,0,3,1700000,70,8.3,6.6,7.3,1500,351,0,NORMAL
3.2,3,1,2100000,65,15.5,12.0,15.8,1284,358,0,NORMAL
13.4,0,2,2600000,55,6.7,6.4,8.9,1150,321,0,NORMAL
37.4,123,2,6500000,25,53.7,40.3,63.9,3250,505,83,SUSPICIOUS
11.3,0,2,3700000,65,14.8,5.9,7.7,889,322,0,NORMAL
62.5,207,4,8100000,10,48.8,55.5,57.1,3863,574,5,SUSPICIOUS
53.1,193,3,7200000,0,68.0,57.3,78.3,5254,637,5,SUSPICIOUS
7.7,19,2,3900000,75,6.2,9.2,6.2,1337,354,0,NORMAL
7.1,13,1,2400000,90,11.1,7.5,10.5,1210,261,5,NORMAL
10.0,13,3,1800000,70,10.0,4.9,8.8,1595,322,0,NORMAL
6.8,21,2,2300000,90,12.0,11.7,13.2,1072,410,0,NORMAL
2.7,28,3,1800000,95,14.5,13.8,11.5,1601,346,0,NORMAL
33.6,128,3,3800000,30,56.7,45.5,55.4,3497,434,85,SUSPICIOUS
5.0,0,1,3000000,75,11.8,14.2,15.8,1315,350,0,NORMAL
9.3,6,2,2000000,70,6.5,13.1,9.6,1117,365,8,NORMAL
8.9,0,2,2500000,75,10.3,7.1,4.2,1079,289,5,NORMAL
2.8,0,2,2000000,80,17.7,12.4,13.3,1303,316,0,NORMAL
70.3,156,4,6500000,40,49.6,68.7,77.0,4368,602,5,SUSPICIOUS
18.5,8,2,3000000,65,14.8,6.0,3.8,1221,337,0,NORMAL
3.3,14,2,1500000,100,14.4,12.3,14.1,1472,385,0,NORMAL
11.7,0,3,3000000,65,15.5,10.2,7.1,1590,341,0,NORMAL
80.8,161,6,6800000,30,49.5,59.5,61.4,6288,581,0,SUSPICIOUS
73.6,214,4,8800000,30,75.2,41.6,63.7,3822,686,0,SUSPICIOUS
3.4,9,2,1600000,90,11.7,4.2,7.0,1567,367,0,NORMAL
2.9,23,2,1300000,95,9.0,12.2,9.2,1615,312,0,NORMAL
1.2,0,2,2600000,75,12.2,4.7,16.1,955,352,5,NORMAL
55.4,141,4,6400000,12,69.3,36.2,60.4,3603,525,5,SUSPICIOUS
77.1,88,5,6700000,30,38.7,65.1,74.3,4078,609,0,SUSPICIOUS
41.1,135,4,3700000,25,59.2,42.8,49.6,4118,529,73,SUSPICIOUS
63.9,127,6,8400000,30,31.2,67.2,56.8,6260,525,0,SUSPICIOUS
8.3,5,1,2800000,90,6.3,11.2,7.7,1547,299,0,NORMAL
12.2,2,4,1200000,100,12.7,12.0,14.6,1058,323,0,NORMAL
11.8,0,2,2000000,55,5.3,14.4,3.6,1267,303,0,NORMAL
3.2,9,2,3100000,80,16.3,8.8,7.7,1380,345,0,NORMAL
13.6,2,4,3400000,90,7.0,10.8,12.9,1151,335,0,NORMAL
10.1,20,2,2600000,60,5.1,7.1,12.2,1071,410,0,NORMAL
6.6,21,2,1200000,80,14.7,6.0,10.4,905,287,0,NORMAL
1.2,0,2,1900000,60,8.1,13.7,10.3,1077,377,0,NORMAL
1.9,0,3,2700000,90,17.4,4.1,11.4,1193,342,0,NORMAL
42.1,144,4,6100000,35,57.7,32.1,69.2,3414,509,79,SUSPICIOUS
16.9,14,1,1400000,95,15.8,10.8,7.9,1083,334,0,NORMAL
8.5,9,3,3300000,80,11.5,5.5,4.5,929,320,0,NORMAL
7.2,1,1,2100000,80,11.7,8.8,8.4,871,376,0,NORMAL
30.0,62,3,5500000,30,57.6,33.3,51.2,3840,579,74,SUSPICIOUS
8.2,2,3,1700000,70,15.0,9.0,9.1,1532,410,0,NORMAL
4.1,0,1,3000000,55,8.4,9.1,7.6,1544,319,8,NORMAL
4.6,0,3,2900000,100,11.3,3.7,15.9,1285,337,0,NORMAL
9.0,0,2,2000000,75,16.3,6.8,5.2,1260,287,0,NORMAL
18.5,11,3,1800000,60,5.9,14.2,16.4,980,359,0,NORMAL
9.7,0,3,1600000,75,9.0,9.8,6.4,980,402,0,NORMAL
79.6,154,5,8500000,40,36.3,65.2,74.0,4050,473,15,SUSPICIOUS
2.8,0,2,1300000,75,8.5,10.0,12.5,1561,318,0,NORMAL
4.1,12,2,2100000,90,5.5,14.3,6.4,1540,368,0,NORMAL
15.6,5,2,2200000,100,15.7,4.1,8.9,1526,323,0,NORMAL
6.8,0,2,2600000,80,7.3,7.2,8.9,1456,344,0,NORMAL
7.2,2,2,1300000,85,5.5,14.4,6.3,1348,331,0,NORMAL
6.7,16,1,3000000,70,15.7,7.9,6.1,1498,338,0,NORMAL
33.0,92,5,8100000,0,46.3,54.1,83.4,4394,636,10,SUSPICIOUS
80.8,83,4,7200000,40,41.8,72.5,72.1,4868,475,5,SUSPICIOUS
7.5,3,3,2200000,75,8.3,8.3,10.3,1597,351,8,NORMAL
10.3,1,2,1800000,95,17.5,9.0,4.2,834,302,0,NORMAL
12.5,0,2,2900000,90,16.8,11.4,11.5,989,371,8,NORMAL
2.3,29,4,2700000,70,13.4,6.9,11.5,1102,396,0,NORMAL
13.1,19,2,2000000,60,7.9,14.0,11.0,1015,333,5,NORMAL
4.4,38,2,3100000,85,6.0,12.4,16.7,1309,327,0,NORMAL
2.7,0,1,1200000,75,14.5,11.7,9.0,1265,356,0,NORMAL
9.2,0,2,1700000,80,17.1,7.2,15.8,1136,366,0,NORMAL
4.7,4,2,3900000,75,14.9,4.0,14.8,780,294,0,NORMAL
3.5,5,4,1700000,80,16.6,4.0,10.9,1443,309,0,NORMAL
9.0,1,2,2500000,55,7.6,7.0,6.9,930,338,0,NORMAL
8.9,9,1,1300000,100,5.8,4.1,5.6,825,375,0,NORMAL
3.4,0,3,1500000,65,13.4,13.1,14.1,897,369,0,NORMAL
4.7,0,1,2000000,80,13.9,13.9,5.0,890,333,0,NORMAL
6.9,33,2,2500000,90,6.7,10.9,10.8,951,307,0,NORMAL
27.7,138,3,6800000,35,39.0,36.2,65.2,3199,487,83,SUSPICIOUS
8.0,2,2,3900000,60,13.9,5.6,10.3,937,334,0,NORMAL
5.1,16,3,2200000,60,16.2,8.7,16.6,1179,386,0,NORMAL
51.4,132,3,5200000,0,47.0,37.7,74.2,4034,582,5,SUSPICIOUS
9.7,7,2,3200000,75,7.4,7.5,7.7,1368,344,0,NORMAL
9.0,0,3,3900000,95,7.9,13.0,13.4,758,309,0,NORMAL
16.4,0,2,3000000,75,11.4,12.1,16.3,1288,359,0,NORMAL
7.0,8,3,1700000,100,9.4,13.1,10.9,1351,358,0,NORMAL
59.6,137,4,5500000,5,53.9,42.8,75.0,4097,494,0,SUSPICIOUS
3.5,5,3,1300000,100,11.5,5.0,4.6,1300,351,0,NORMAL
1.2,0,2,3100000,75,10.7,10.0,4.0,1635,357,0,NORMAL
64.3,118,5,7700000,30,52.8,73.7,64.4,4556,595,0,SUSPICIOUS
11.0,0,3,2100000,70,5.9,5.6,13.8,889,358,5,NORMAL
18.2,20,2,2500000,100,15.2,8.8,3.6,1449,350,0,NORMAL
4.9,0,3,3100000,70,13.3,9.3,9.5,1627,298,5,NORMAL
9.5,5,2,3200000,80,14.0,6.8,11.8,1529,282,0,NORMAL
32.4,68,4,5700000,35,53.1,42.6,58.2,3663,554,88,SUSPICIOUS
69.6,140,5,9700000,25,48.1,65.4,73.1,5318,628,5,SUSPICIOUS
9.9,0,2,3100000,100,9.9,13.4,15.8,1200,347,0,NORMAL
4.7,45,2,3600000,65,15.7,6.6,4.0,1558,374,0,NORMAL
1.2,1,3,2900000,60,10.7,6.1,12.9,1600,349,0,NORMAL
18.5,0,2,3000000,100,15.1,5.9,5.3,1647,356,5,NORMAL
6.7,15,3,3100000,100,5.9,4.4,4.5,1046,337,0,NORMAL
1.2,0,1,1700000,65,12.2,13.7,3.1,771,362,0,NORMAL
68.8,171,6,9100000,25,40.6,68.7,50.5,5813,565,15,SUSPICIOUS
52.3,151,4,5100000,0,54.4,57.2,72.0,4216,521,0,SUSPICIOUS
45.0,125,4,4500000,25,42.7,39.1,55.2,3539,434,76,SUSPICIOUS
4.6,6,2,2800000,100,14.1,11.8,4.5,1182,273,0,NORMAL
6.6,0,2,1600000,65,11.7,8.6,7.4,1618,369,0,NORMAL
3.5,37,4,3100000,70,8.2,10.5,12.3,936,379,8,NORMAL
46.2,103,5,6300000,10,67.6,58.4,59.7,4483,643,0,SUSPICIOUS
5.9,13,2,1900000,95,18.0,3.8,15.6,1500,388,8,NORMAL
1.8,0,2,1700000,90,12.6,11.2,12.5,1033,298,5,NORMAL
5.1,3,2,1700000,55,7.0,9.5,4.2,794,387,0,NORMAL
7.8,12,2,1500000,55,8.0,7.3,8.3,1519,342,0,NORMAL
40.9,123,3,4400000,25,47.4,35.9,71.2,3043,589,92,SUSPICIOUS
5.4,6,3,2000000,65,12.2,11.3,12.3,828,341,0,NORMAL
8.7,4,4,2800000,85,5.4,9.6,13.7,1472,319,0,NORMAL
5.9,42,3,1600000,75,11.7,13.5,14.3,1142,280,0,NORMAL
4.0,3,4,3700000,85,13.3,8.6,5.7,1415,294,0,NORMAL
5.3,9,1,2700000,95,10.1,8.8,4.9,1357,382,5,NORMAL
33.9,214,3,7800000,5,47.1,58.4,83.6,4654,621,10,SUSPICIOUS
54.9,230,4,7100000,20,76.0,40.2,74.1,4581,558,14,SUSPICIOUS
71.2,140,4,8200000,40,41.4,76.7,75.5,5714,486,15,SUSPICIOUS
8.5,25,3,3100000,100,6.9,9.1,6.3,1397,296,0,NORMAL
56.4,216,6,8000000,30,69.7,56.8,62.9,3452,701,14,SUSPICIOUS
3.4,12,4,2500000,95,15.8,7.1,6.3,963,351,5,NORMAL
9.1,18,4,3000000,65,13.4,4.0,8.0,1053,315,0,NORMAL
75.0,75,5,8800000,25,30.4,73.1,76.4,6479,531,0,SUSPICIOUS
6.7,20,3,1300000,70,10.2,7.0,9.5,1502,328,0,NORMAL
4.4,1,2,3500000,65,11.0,14.3,9.8,1613,338,0,NORMAL
4.8,0,3,2100000,75,17.7,6.3,9.4,1571,380,8,NORMAL
5.7,0,1,2800000,90,12.1,11.3,6.0,1186,359,0,NORMAL
6.0,2,1,2000000,75,15.3,12.2,4.3,791,394,8,NORMAL
18.1,12,1,2600000,90,9.9,9.4,3.0,825,365,0,NORMAL
7.5,40,2,1600000,70,5.9,6.8,12.9,1150,285,0,NORMAL
17.0,7,3,2900000,60,12.9,9.8,5.3,1434,332,0,NORMAL
6.0,7,2,3000000,80,12.7,3.8,3.5,1587,350,0,NORMAL
1.6,5,3,2800000,65,7.2,11.3,10.5,1020,385,0,NORMAL
5.5,0,2,2400000,65,9.3,7.7,11.7,1507,364,0,NORMAL
6.6,0,4,2800000,65,16.2,11.0,9.3,1023,327,8,NORMAL
4.3,0,1,2600000,60,14.5,5.7,8.2,1607,321,0,NORMAL
17.4,0,2,2000000,75,9.6,4.0,6.1,1220,356,5,NORMAL
17.8,4,2,2800000,75,10.3,9.6,9.1,1616,369,0,NORMAL
36.4,135,2,6200000,20,55.9,30.7,69.7,3807,493,86,SUSPICIOUS
6.4,1,2,1700000,75,15.2,13.9,13.5,1370,333,0,NORMAL
7.2,2,3,1700000,95,6.1,6.8,6.1,1374,352,0,NORMAL
13.9,2,2,2700000,80,10.1,13.3,11.8,975,379,0,NORMAL
50.7,154,6,8000000,20,75.3,48.3,76.8,3619,734,0,SUSPICIOUS
14.9,45,3,2800000,55,6.4,7.4,7.0,1073,360,0,NORMAL
37.4,91,5,7700000,10,42.1,46.0,62.6,5292,488,5,SUSPICIOUS
5.6,2,2,1200000,80,12.9,4.8,7.5,1462,346,0,NORMAL
5.2,0,2,1800000,90,15.9,4.4,4.3,1061,303,0,NORMAL
4.5,2,2,1900000,95,12.5,10.5,14.2,1308,376,0,NORMAL
2.8,0,2,1500000,100,12.3,7.3,7.4,1268,281,0,NORMAL
12.6,0,4,2900000,75,5.5,6.3,12.7,1468,296,0,NORMAL
47.4,162,5,5600000,0,41.0,45.1,78.5,4756,622,10,SUSPICIOUS
68.5,89,6,7300000,40,33.7,72.7,62.6,4318,480,0,SUSPICIOUS
2.3,12,2,1200000,80,9.3,4.1,8.2,1201,323,0,NORMAL
2.3,0,3,1700000,55,7.7,13.5,14.7,1131,345,0,NORMAL
3.1,18,4,2100000,60,14.1,8.0,4.9,1550,337,0,NORMAL
7.0,12,2,2500000,90,5.4,10.4,7.9,780,369,5,NORMAL
2.6,0,3,1900000,85,7.3,9.2,6.7,791,374,0,NORMAL
11.9,3,3,2200000,80,8.4,10.1,7.2,902,345,0,NORMAL
28.2,148,4,4700000,35,48.0,36.6,73.8,2690,587,89,SUSPICIOUS
2.7,0,2,1800000,100,16.5,12.0,13.3,973,356,0,NORMAL
60.8,145,4,5000000,10,58.5,35.2,78.3,3264,544,10,SUSPICIOUS
6.3,7,2,2800000,55,17.9,4.9,14.1,1476,376,0,NORMAL
3.2,5,4,2000000,75,14.2,9.4,9.7,857,380,0,NORMAL
55.8,167,5,6700000,25,50.9,50.8,75.0,6045,571,0,SUSPICIOUS
8.1,45,1,3300000,55,5.1,12.9,13.2,1405,337,0,NORMAL
8.3,0,2,1900000,60,12.8,8.7,3.8,967,374,0,NORMAL
12.2,31,2,2300000,55,13.7,4.5,10.1,943,372,0,NORMAL
53.1,115,3,5200000,5,44.2,44.3,76.2,4283,518,10,SUSPICIOUS
13.0,34,2,2900000,55,5.7,7.9,12.4,1191,333,0,NORMAL
66.0,155,4,7400000,15,64.3,65.2,80.6,3009,636,8,SUSPICIOUS
11.7,0,1,1600000,80,6.2,4.8,9.5,1095,303,0,NORMAL
50.5,63,3,5400000,35,52.7,46.3,48.6,3569,431,72,SUSPICIOUS
8.0,9,3,2400000,75,13.5,9.0,13.1,1511,305,0,NORMAL
8.4,0,3,3600000,75,5.8,14.1,10.7,1277,317,8,NORMAL
34.0,137,5,6100000,10,65.3,55.6,61.9,4248,669,5,SUSPICIOUS
80.9,107,5,6800000,30,53.2,76.1,65.4,4252,583,0,SUSPICIOUS
9.6,17,2,1400000,55,5.6,7.7,5.2,850,306,5,NORMAL
61.7,158,5,6200000,10,67.8,55.5,61.7,5295,616,0,SUSPICIOUS
93.4,129,5,7400000,25,44.3,62.7,54.5,5071,531,0,SUSPICIOUS
8.1,26,1,2700000,85,7.5,12.9,12.5,1214,324,0,NORMAL
7.7,21,2,2900000,65,6.6,5.6,7.9,1413,349,0,NORMAL
64.6,79,5,7400000,25,41.0,56.6,62.4,4553,599,5,SUSPICIOUS
48.8,191,4,6100000,30,61.3,62.7,83.2,4640,685,8,SUSPICIOUS
7.9,0,4,2800000,80,14.8,6.5,10.6,1530,290,0,NORMAL
48.5,177,4,8000000,10,64.5,51.3,80.2,4531,614,5,SUSPICIOUS
9.3,0,2,1700000,90,6.2,10.0,12.8,778,315,0,NORMAL
18.5,0,2,2900000,55,14.3,5.8,11.0,1458,375,0,NORMAL
